YEAR,CAN_ESM2|85 PPMEAN,CESM1_BGC|85 PPMEAN,GFDL_ESM2G|85 PPMEAN,GFDL_ESM2M|85 PPMEAN,HADGEM2_CC|85 PPMEAN,HADGEM2_ES|85 PPMEAN,IPSL_CM5A_LR|85 PPMEAN,IPSL_CM5A_MR|85 PPMEAN,IPSL_CM5B_LR|85 PPMEAN,MIROC_ESM|85 PPMEAN,MPI_ESM_LR|85 PPMEAN,MPI_ESM_MR|85 PPMEAN,NORESM1_ME|85 PPMEAN,CMCC_CESM|85 PPMEAN
1976,602.4665527,450.9744873,468.2409363,640.3283081,248.1114197,220.5566101,312.7584534,281.5032654,167.7345276,109.7768097,214.8593903,159.9085083,312.5971985,50.64390564
1977,623.5797729,463.7321472,454.9736023,641.7027588,242.2051239,229.7212524,281.621582,293.3211975,139.134491,105.3867416,218.652298,163.7346802,302.3862,40.60620499
1978,607.1581421,456.3175659,460.8856812,594.1639404,236.769455,224.8116455,277.4284973,308.5521545,143.4732971,109.104805,204.8074036,181.6161652,330.3398743,37.43585205
1979,624.838501,454.1316528,466.5384827,613.5072021,248.4250946,216.6700287,294.3816223,282.8646851,158.6732788,109.7032547,228.0844879,175.6227875,340.8067627,20.0411129
1980,599.6283569,473.5831604,454.3822327,619.0287476,230.3869324,246.5554352,309.5232239,310.0756226,140.0937653,107.541275,233.311676,166.4337769,342.7426147,33.774086
1981,572.3823853,442.3889771,464.6660461,611.3352661,213.8071594,233.3157806,289.9781494,342.7795105,132.6456604,110.7887039,247.0996552,181.6489716,355.0812988,37.23857117
1982,591.4772949,446.2023926,490.0453186,596.5146484,204.8539124,255.0627899,293.8542175,299.048584,143.7835693,109.5740204,235.9292297,183.540863,344.8114624,37.33204651
1983,564.4364624,494.4862366,473.9573059,615.777771,222.2662506,249.3782349,280.1209106,310.1862488,134.1385193,106.8155365,222.3970642,179.1353607,297.483551,26.73407173
1984,562.1674194,427.1688843,466.2278137,609.0412598,222.2000885,236.6612701,292.195282,299.6704407,122.9748611,107.2913132,222.5968018,175.5764618,331.1932068,19.50051117
1985,549.3499756,430.8278809,495.6388855,630.1964722,222.8241577,258.026825,290.0275879,293.9004517,126.9985352,111.1679459,212.0107269,173.8187256,333.0829163,41.25511551
1986,544.3622437,452.7273865,455.6403198,614.1102905,236.0906219,257.2344971,293.9595947,283.5006104,124.8366928,114.1213684,231.3821106,186.4612579,318.9484253,23.1636982
1987,567.7045898,477.8575439,465.5672913,628.4129639,238.9711914,227.0834808,298.9768066,290.7401428,141.2189636,108.6927261,222.046463,191.4266968,319.297699,30.67946815
1988,572.977478,447.6326904,481.3603821,601.7827759,229.3000793,204.5486755,293.5684814,358.6739807,152.3374023,107.7355804,222.1434174,202.7149658,298.3404846,53.27994919
1989,605.3770752,454.9074097,450.3321228,612.1499634,237.7823334,196.9662323,288.3755493,306.5097656,156.682663,104.9043427,237.2161865,183.9848022,300.3425293,38.4340744
1990,593.940979,463.2442322,446.6927795,616.5912476,233.1615601,200.0539398,287.7990723,312.4217224,162.4439545,108.9299774,224.1300507,178.3681946,309.7781067,30.75529671
1991,576.6386108,446.2333069,490.9502563,601.2521362,222.4153137,207.3341064,302.7525635,330.6250916,156.0737457,110.2931213,212.4176788,186.9399719,313.0810547,23.24248505
1992,596.0935669,458.3726501,450.4095764,641.7622681,234.8098297,221.2034149,282.4788818,306.2026062,159.3914185,110.0451431,230.2529297,178.720108,334.6568604,44.4042511
1993,597.0615234,461.3973083,454.8617249,587.7608643,232.3049774,233.5486603,286.4788818,316.0752563,204.6438446,116.4041672,214.7873077,173.000824,315.1515198,33.82769775
1994,544.2506714,429.4308167,473.197937,595.5439453,225.8861084,234.0049286,273.9224243,314.5444336,164.863739,116.6844406,197.8375092,178.6304016,336.2678528,34.39848328
1995,561.734314,459.8061523,481.896637,595.1738892,248.0527802,222.2117157,253.750946,316.5542603,166.6277466,117.0108719,211.0674438,173.0504608,329.4028015,21.75162315
1996,567.3303223,460.346344,480.9277039,622.1030884,238.6820984,219.1188049,318.1564026,316.117218,167.97789,113.0394516,232.7371826,178.355545,326.4293518,29.81249809
1997,594.7322388,462.1815491,473.2091675,611.3234863,209.4448395,241.9500885,285.5895081,291.1466064,194.4051056,113.6431198,216.6184235,162.432312,293.2644043,24.62734413
1998,580.4050293,460.2810059,457.6794739,618.0330811,218.8128357,217.8988342,287.9403076,319.7597656,188.2252197,113.4835281,231.4177246,165.1321411,304.1817017,27.23840904
1999,574.8693848,462.3447266,487.2442627,619.8786011,228.2313538,228.282074,295.5042725,330.5097046,171.1010284,111.287056,208.2443848,170.8853912,335.0638733,54.07792282
2000,608.7626343,446.5982971,463.2566528,626.7682495,214.0360718,240.40448,307.9779663,326.1642151,183.7275085,112.8760223,243.322998,187.7093201,297.8214417,35.70511627
2001,604.0081787,447.7395935,456.254364,628.4702148,209.9597931,218.0146484,298.2884521,291.3320007,180.1788483,114.7519226,199.0908966,184.3270416,342.086853,22.24456596
2002,583.961853,455.5477295,487.3848267,588.357666,213.1663055,208.9998169,277.4949036,297.8782654,163.4687958,115.7493896,230.521759,160.2678223,341.6313171,29.23688507
2003,567.456665,473.019104,450.8897095,635.9437256,225.4382935,194.7755432,277.3287964,294.6035767,167.421814,115.4334183,203.3588867,177.7498779,300.0350342,27.46458244
2004,578.0584106,449.4257202,474.3563232,603.9277344,198.1980743,193.6516724,285.0122986,300.0371094,187.7756805,115.805603,193.1416321,174.7938232,331.0149536,23.94041824
2005,560.3776245,444.0346985,455.9285889,609.741333,178.8235626,191.415329,292.0461731,333.0905457,168.5480652,109.3083801,182.2984161,170.678894,337.4406433,40.85700226
2006,591.5093384,441.669281,483.8084412,636.4552612,177.0367126,190.3286591,304.8456116,303.5211182,179.0682526,111.4566345,207.3967896,161.1902618,337.9554749,15.39528942
2007,594.2040405,453.8166504,490.9803162,605.2227173,179.8267822,185.536499,330.972229,312.3407593,161.7941589,113.5566711,216.6841431,162.7307587,325.6191101,29.85238457
2008,584.3006592,465.4942627,461.7222595,611.2063599,192.5461731,198.1127319,306.3383484,334.1933594,162.4598694,108.4601364,201.3497467,162.0571136,287.1691895,39.95094299
2009,591.885437,436.2356567,464.6487732,608.3511963,188.378006,195.2628174,286.9583435,279.2422791,149.060379,111.8306885,217.6021729,168.2478333,321.413147,40.33397675
2010,549.2980347,446.4897766,452.5660706,593.8009644,195.0201569,185.3764038,285.7142029,337.474823,166.3061218,105.5208206,201.9812317,170.9901733,308.1658936,16.80280304
2011,578.946106,435.9661255,484.4496765,598.0036011,199.0230408,204.2415009,306.8948975,326.7155762,169.5187225,108.9776077,182.5990295,172.692749,320.1522522,91.03707123
2012,564.975647,412.1802673,474.2672729,587.6028442,202.9148254,190.6698608,283.3019104,312.5658875,161.1125793,109.5346146,184.6696167,172.136261,316.4220886,60.35472107
2013,579.2878418,431.4228821,471.2261658,594.8916626,233.9816284,161.2295685,272.6794739,296.1062927,175.7962646,106.6769409,198.6789856,161.1310425,311.193512,25.62792015
