"Year","ACCESS-ESM1-5","CanESM5","CESM2","CESM2-WACCM","GFDL-ESM4","MIROC-ES2L","MPI-ESM1-2-LR","IPSL-CM6A-LR","NorESM2-LM","UKESM1-0-LL"
2015,9.41778424446481e-08,2.20409491189019e-07,3.12910713759866e-07,3.26896092465445e-07,4.33627564638946e-07,2.20319121582946e-07,2.63511295084446e-07,2.40062420390843e-07,1.83459310890307e-07,4.9712218967618e-07
2016,1.03361605298827e-07,1.68428666947492e-07,3.13957654520937e-07,2.9233997574065e-07,4.25624907695217e-07,2.19310838024275e-07,2.52588074011637e-07,2.48577873775606e-07,2.01961880310591e-07,4.77460643953229e-07
2017,1.01274494420965e-07,1.25651771496896e-07,3.12485128866117e-07,3.04883272912684e-07,4.24070460975503e-07,2.18710221439212e-07,2.78515034793999e-07,2.46442800591158e-07,1.76333600206712e-07,4.66958122043184e-07
2018,8.80341452140471e-08,7.38490284092242e-08,3.01303185793006e-07,2.96675224195265e-07,4.42383498452809e-07,2.22055498384647e-07,2.44742498430609e-07,2.58389857605738e-07,1.90754405340622e-07,4.55882958392289e-07
2019,9.89692641931846e-08,8.32353594847887e-08,3.21925163117612e-07,3.01939496543336e-07,4.35583386188162e-07,2.22205105297192e-07,2.53684897242796e-07,2.37126078455995e-07,2.02961104070167e-07,4.59705802261859e-07
2020,1.00727196373661e-07,1.20766915366926e-07,3.11797214988635e-07,2.88812064976899e-07,4.126580277907e-07,2.1373715429474e-07,2.66116606704302e-07,2.09874784450544e-07,1.85748658213346e-07,4.58443050988648e-07
2021,1.05951105290267e-07,1.2305750943012e-07,3.2094934205693e-07,3.12017620738092e-07,4.13583032637539e-07,2.11956087195176e-07,2.63267972952101e-07,2.11049302563527e-07,1.89888082661056e-07,3.84681438283381e-07
2022,9.64496812199169e-08,1.25920079631289e-07,3.34892236308686e-07,3.09930510963291e-07,4.25595211703441e-07,2.07963223925511e-07,2.42057848485992e-07,2.09427124905564e-07,2.1809806542612e-07,3.43889797446352e-07
2023,1.02363237411167e-07,1.3035997801784e-07,2.93619296606633e-07,3.10953205461709e-07,4.34293761743539e-07,2.08220784255274e-07,2.47999244771065e-07,2.28029005492151e-07,1.96999131279455e-07,3.58706691715303e-07
2024,1.02208436653007e-07,1.74003243792953e-07,3.24157695537322e-07,2.96779645748512e-07,4.19663587772003e-07,2.14808925330106e-07,2.65513407231544e-07,2.32800265153049e-07,1.99063070729548e-07,3.96299841253214e-07
2025,9.74421424099108e-08,1.50668689944404e-07,3.05225471635441e-07,2.97132675211402e-07,4.49379276362645e-07,2.16259410294766e-07,2.60128491550884e-07,2.3238898255006e-07,1.89173960194101e-07,3.81432841503347e-07
2026,9.5002919947245e-08,1.07162032167775e-07,3.08238057151954e-07,3.10269890637115e-07,4.35052159939065e-07,2.22990491660148e-07,2.48368710596704e-07,2.45015354352283e-07,2.05040150954319e-07,4.03463706863051e-07
2027,1.01990108424222e-07,1.12301312236285e-07,3.10608910433866e-07,2.98239916087283e-07,4.47275915864903e-07,2.18560252354663e-07,2.59613947018368e-07,2.32688326210512e-07,1.99515289802331e-07,4.47487324729661e-07
2028,9.14376849475324e-08,1.50639065744374e-07,3.04241527771281e-07,3.03543968482068e-07,4.28409301368272e-07,2.22556083821151e-07,2.54636389863638e-07,2.2767835801849e-07,2.05824753407346e-07,4.02510944165861e-07
2029,9.55491988285754e-08,1.21168556992883e-07,3.11726808682249e-07,3.02300947013177e-07,4.35763300577606e-07,2.18274460264488e-07,2.35830444499953e-07,2.18349231613634e-07,1.96947477788825e-07,3.2784416242036e-07
2030,1.04490511369126e-07,8.53503702780739e-08,3.21800162443846e-07,2.9310358667013e-07,4.15053526459779e-07,2.11826123558402e-07,2.48827304700184e-07,2.03923706169094e-07,1.87609226748867e-07,3.40648063185698e-07
2031,1.05291332064774e-07,9.14125198778148e-08,2.9594385783778e-07,2.96009528650111e-07,4.20544412923035e-07,2.05641339648992e-07,2.39221452604714e-07,2.16643178637039e-07,1.94640530291454e-07,3.44749777700762e-07
2032,1.01597364776595e-07,1.02859883880684e-07,3.04284218743323e-07,3.03081663428866e-07,4.04621859710017e-07,2.10552415926451e-07,2.31883076620565e-07,2.2049072321414e-07,2.04371541016549e-07,3.59090306676387e-07
2033,1.01207925846672e-07,1.2554848256534e-07,3.10656133605784e-07,3.26832540713653e-07,4.17461406796779e-07,2.10691017395536e-07,2.18232828261709e-07,2.137065771603e-07,1.97605824383141e-07,3.46281053216128e-07
2034,1.04270206026508e-07,1.51165654275495e-07,3.02110603805297e-07,3.03167422654534e-07,4.12917518883477e-07,2.06262845554364e-07,2.36976299627219e-07,2.34009044419064e-07,2.22303011961908e-07,3.04142896844072e-07
2035,9.80106872372372e-08,1.38580822648798e-07,3.22652177562606e-07,2.89488741273797e-07,4.18901313455907e-07,2.04129754323851e-07,2.39496636941589e-07,2.4788206883643e-07,2.10442236016308e-07,3.2138024882307e-07
2036,9.09924827459312e-08,1.1174492374029e-07,3.08470115879286e-07,3.07897917730208e-07,4.00913025923069e-07,1.8153256186516e-07,2.30267969646327e-07,2.40093254680514e-07,1.95586663337642e-07,4.05741825788174e-07
2037,9.13867615184948e-08,1.34422880030375e-07,2.88418785503748e-07,2.97796192478742e-07,4.20061547626824e-07,1.84194521289866e-07,2.37627662165778e-07,2.32509469893811e-07,1.86303756430011e-07,4.12744777282037e-07
2038,9.38176614567595e-08,1.37047062508133e-07,3.09537807875032e-07,2.83492271828879e-07,4.22500197129216e-07,1.65072103237207e-07,2.64318210767096e-07,2.23738060812469e-07,2.09180293743532e-07,3.59186232804043e-07
2039,1.03340974505268e-07,6.72494905124579e-08,3.13967271671811e-07,3.04634420151059e-07,4.31190008932866e-07,1.58630729158429e-07,2.3017679303919e-07,2.15028519973456e-07,1.87454048944132e-07,3.83393431890744e-07
2040,9.53679123950177e-08,4.84436473588452e-08,2.88640022276954e-07,2.96556375899028e-07,4.17790958528702e-07,1.73170586172323e-07,2.09475203871145e-07,2.26770254338791e-07,2.02657483081735e-07,4.11945694711362e-07
2041,9.65682195030496e-08,9.46817563951639e-08,2.83633471814732e-07,2.92080953173431e-07,4.31838787668429e-07,1.86067597992715e-07,2.2410287709355e-07,2.32375079417316e-07,1.81738187789452e-07,3.54369241521066e-07
2042,9.59377755054677e-08,1.19702348376458e-07,2.98246603776497e-07,3.04741614295033e-07,4.47805460128464e-07,1.97648285167604e-07,2.16180428585475e-07,2.26493418351427e-07,2.02402203556298e-07,3.50749608099593e-07
2043,1.00708046779554e-07,1.32865613177788e-07,3.2147934933047e-07,2.84588894510149e-07,4.421750670545e-07,1.9757699841201e-07,2.43646915895228e-07,2.27957138868581e-07,1.86499451989871e-07,3.4949708544784e-07
2044,1.00062082957579e-07,9.43986237429629e-08,3.12178061767209e-07,2.93940000886872e-07,4.19039704907003e-07,2.07258527605381e-07,2.47392211753862e-07,2.41112863919449e-07,1.9868346510748e-07,3.54068820199096e-07
2045,9.42560908699331e-08,8.26558153232607e-08,3.09405873330208e-07,2.91544724030182e-07,4.32152639990461e-07,2.15213228734693e-07,2.36970665364557e-07,2.22754307811701e-07,1.93111263670014e-07,3.71513828549889e-07
2046,8.93738779496971e-08,7.2111902454696e-08,2.92324176514716e-07,3.13553095104972e-07,4.29590888132302e-07,2.27825292908678e-07,2.22354566997031e-07,2.33054105495205e-07,1.91594362548752e-07,3.63516121038491e-07
2047,9.062202193152e-08,7.14029637889375e-08,2.90856605096514e-07,2.94549750353624e-07,4.47152246625194e-07,2.2378751531737e-07,2.22234675237483e-07,2.4334053990428e-07,1.80582550358753e-07,3.60017991255717e-07
2048,9.37561278040016e-08,8.66582796172366e-08,2.88913166587318e-07,2.91956538733274e-07,4.3803451133676e-07,2.30386474772947e-07,2.25350597725092e-07,2.27035741940789e-07,1.85771625044657e-07,2.82999493586846e-07
2049,9.48671045473812e-08,6.59375811804854e-08,2.83721580865197e-07,2.85565720349415e-07,4.46039436309942e-07,2.26614230321544e-07,2.19040849929919e-07,2.41283556309899e-07,1.93618373549449e-07,3.54890681288113e-07
2050,1.01741623944277e-07,8.91774672837928e-08,3.06693239010403e-07,2.9901065661125e-07,4.26543809535985e-07,2.19609641303691e-07,2.5313423370865e-07,2.30394949353774e-07,1.90516184196263e-07,3.39924648139007e-07
2051,9.8779837486441e-08,7.29157748340686e-08,2.92400456730472e-07,3.09335048370267e-07,4.46898015175944e-07,1.96471645775138e-07,2.38392829159622e-07,2.18869984347761e-07,1.82877722270443e-07,2.78854525564455e-07
2052,9.72687025541292e-08,8.27790763768851e-08,3.16703862516348e-07,2.96539958874646e-07,4.44519298454609e-07,1.81784190527175e-07,2.51816416111944e-07,2.57006169781794e-07,1.90717484862303e-07,2.3895958859924e-07
2053,9.61841471704245e-08,7.53916250455722e-08,3.14078480673166e-07,2.85653141626079e-07,4.19611749128115e-07,1.83741621681125e-07,2.45954075100987e-07,2.26411479334695e-07,1.87689781899473e-07,1.92698371435841e-07
2054,1.07319404229596e-07,8.16472513762201e-08,3.0424348689095e-07,2.84935455173365e-07,4.21063639116243e-07,1.89357449519499e-07,2.35014259404041e-07,2.14679935167928e-07,1.8488049041573e-07,1.97153915360056e-07
2055,9.90646092299696e-08,1.19733885935192e-07,2.83900098201987e-07,2.89191418659033e-07,4.38276707327725e-07,1.86824218848625e-07,2.5707029808495e-07,2.46909421404993e-07,1.81542031270728e-07,2.41435819329812e-07
2056,1.02645240822939e-07,1.26770923331868e-07,2.87430440372504e-07,2.87914394140832e-07,4.27470473776791e-07,1.95131032836801e-07,2.34974691075099e-07,2.23428718437491e-07,1.87743982456701e-07,2.24596161518302e-07
2057,1.01546784732666e-07,1.01911350896771e-07,2.83613287877633e-07,2.98147341357565e-07,4.31804100272015e-07,1.93815517464213e-07,2.01825800649007e-07,2.09732943983175e-07,1.67886485578132e-07,1.90436996207354e-07
2058,1.11654666684144e-07,9.49899683358712e-08,2.98696482319015e-07,3.06082448041083e-07,4.31189976827641e-07,2.053210778233e-07,2.28622882015046e-07,2.14175152823729e-07,1.92321835480824e-07,2.18967729073535e-07
2059,1.00521062452559e-07,6.01439566014187e-08,2.84656457740145e-07,2.9413552401297e-07,4.62171734192654e-07,2.09128481345202e-07,2.095573459888e-07,2.14712657011037e-07,1.94712656671383e-07,2.14180352729299e-07
2060,1.13340392717687e-07,8.82443710266001e-08,2.75502530298738e-07,3.11391873795614e-07,4.45794181284996e-07,2.07211101810268e-07,2.33331660567409e-07,2.12444561686422e-07,2.18509879910977e-07,2.04423489226443e-07
2061,1.14159684453261e-07,9.00777941966546e-08,2.7693451107416e-07,2.85649219860261e-07,4.39378443553165e-07,2.10575080396338e-07,2.32165205883513e-07,2.24508848011768e-07,1.86579957748136e-07,2.29543521648816e-07
2062,1.11789635871396e-07,7.51302426614298e-08,3.09332380229551e-07,2.80192194584411e-07,4.43401157739571e-07,2.09484756769554e-07,2.22462065559082e-07,2.25535966806483e-07,1.93133214583318e-07,2.81859437842863e-07
2063,1.13655391999747e-07,8.16711195397713e-08,2.70722032081861e-07,2.85570277932182e-07,4.2478530401231e-07,2.19060504364726e-07,2.2160529100775e-07,2.17032182502548e-07,1.91738179316526e-07,2.82602684334021e-07
2064,1.1717894294256e-07,7.08048183673621e-08,2.66384299988682e-07,2.7768604561356e-07,4.20461393035432e-07,2.13550088647328e-07,2.19424357654893e-07,2.25258917833771e-07,1.83945820282453e-07,2.42023879597998e-07
2065,9.86731611256074e-08,6.53037063125349e-08,2.78416669580216e-07,2.78926968867225e-07,4.330815410608e-07,2.27724402066533e-07,2.32160378873919e-07,2.42563795446327e-07,1.89106433695609e-07,2.19406641992353e-07
2066,1.04207511336529e-07,5.88152962716123e-08,2.65687350978522e-07,2.79220099152318e-07,4.26308968103835e-07,2.44667831508952e-07,2.01304829872253e-07,2.45972006851879e-07,1.91056700753187e-07,1.9193168721731e-07
