"Year","ACCESS-ESM1-5","CanESM5","CESM2","CESM2-WACCM","GFDL-ESM4","MIROC-ES2L","MPI-ESM1-2-LR","IPSL-CM6A-LR","NorESM2-LM","UKESM1-0-LL"
2067,1.0329236490174e-07,7.31625611927919e-08,2.47646377740858e-07,2.83319656381904e-07,4.2593812340656e-07,2.4386749102744e-07,2.16358052532504e-07,2.21713701560633e-07,2.16768507306882e-07,1.88518004244136e-07
2068,1.02605474595562e-07,5.32393324001177e-08,2.54047185424166e-07,2.75297175252029e-07,4.30474796780196e-07,2.39162792923493e-07,2.24089360790626e-07,2.08715636230562e-07,1.92767231359982e-07,2.92518945467088e-07
2069,1.05430918262353e-07,6.84636912736283e-08,2.61486437104884e-07,2.93250317957161e-07,4.10248880836667e-07,2.4427697531762e-07,2.44569275958555e-07,2.32165455318948e-07,2.06536102958085e-07,2.80937203498647e-07
2070,1.10609694961659e-07,5.65773294604405e-08,2.6070250643586e-07,2.88348229406392e-07,4.34320349101101e-07,2.42891744289954e-07,2.34664112027761e-07,2.26279182756629e-07,1.91831524039647e-07,2.37033582033737e-07
2071,1.07207961391927e-07,1.01578836520535e-07,2.5847492889656e-07,2.80483557084696e-07,4.26986454779458e-07,2.4406763581295e-07,2.2338920599924e-07,2.28931556461644e-07,1.77427062685681e-07,2.63316690088017e-07
2072,1.04657727462804e-07,6.29603250474151e-08,2.36409953510107e-07,2.7507069925362e-07,4.2901934680302e-07,2.53393766278027e-07,2.28727345988313e-07,2.22037455114533e-07,1.6851871106973e-07,2.17590917310513e-07
2073,1.05757872147226e-07,6.85968537851676e-08,2.55062781773678e-07,2.60729642716476e-07,4.4320281641203e-07,2.7974755531136e-07,2.47118912399562e-07,2.36285855790298e-07,1.70034488205273e-07,2.05647699608954e-07
2074,1.05675681616937e-07,5.54955606187635e-08,2.64038721817385e-07,2.56752921897936e-07,4.2645336579924e-07,2.63952539935184e-07,2.2837780524928e-07,2.2149854757724e-07,1.65128693944774e-07,1.82834207419518e-07
2075,1.06074272458432e-07,5.19413130166142e-08,2.50917544315437e-07,2.51899443650979e-07,4.36014425002784e-07,2.30382430649945e-07,2.12118877348818e-07,2.25757286395363e-07,1.77268145309589e-07,2.12598179293622e-07
2076,1.08791739895427e-07,7.90594188733303e-08,2.40681498935293e-07,2.52538715486014e-07,4.20905583824659e-07,2.36614509912526e-07,2.12468337766729e-07,2.39729140029837e-07,1.77119052620252e-07,2.01514335128684e-07
2077,1.03234915732523e-07,1.01144732520992e-07,2.32909916055428e-07,2.58831896172776e-07,4.15085853367497e-07,2.18862725012167e-07,1.98199363493649e-07,2.28480633905047e-07,1.79734084935046e-07,2.12624103839481e-07
2078,1.14249390175502e-07,8.22297930502179e-08,2.23681921175208e-07,2.59451916621235e-07,4.08636923775017e-07,2.05553082310138e-07,2.20794380618604e-07,2.22843739759046e-07,1.85486455319444e-07,1.88056835613513e-07
2079,1.16970126947693e-07,5.79367505936184e-08,2.43972083622488e-07,2.59452465805222e-07,4.25089547328887e-07,2.2730430610245e-07,2.22290407444698e-07,2.23709417751339e-07,1.72393141567141e-07,1.82597862955368e-07
2080,1.09078805925274e-07,4.566691164116e-08,2.38837101132921e-07,2.69659108845972e-07,4.10042658651775e-07,2.41139109346482e-07,2.27555766200389e-07,2.4430211745601e-07,1.74630730828944e-07,1.792188810305e-07
2081,1.05997775412909e-07,6.89290784739023e-08,2.26584707440492e-07,2.55212666515453e-07,4.22113001498352e-07,2.32885535746785e-07,2.19273638810248e-07,2.32103535422931e-07,1.73197718638858e-07,1.99477240720098e-07
2082,1.10615192512456e-07,7.87492589052347e-08,2.31203550336778e-07,2.62234322575117e-07,4.14721639950539e-07,2.11805029921895e-07,2.30024617485759e-07,2.30548071760504e-07,1.78118294111849e-07,1.91129543827717e-07
2083,1.15614648163904e-07,3.85632661489803e-08,2.34070187645736e-07,2.51019718958395e-07,4.02115069030345e-07,2.46467864287758e-07,1.95946288793514e-07,2.43153469739141e-07,1.86389178877379e-07,1.86477753360963e-07
2084,1.12969547348962e-07,5.93903634601863e-08,2.29944981283596e-07,2.2590994415974e-07,4.10368241999837e-07,2.51003861448469e-07,2.21407464757289e-07,2.27368128698417e-07,1.71411323450833e-07,1.63486929835079e-07
2085,1.19948548387464e-07,5.61466112525314e-08,2.29244403659168e-07,2.38348252443584e-07,4.24824130086579e-07,2.42288573996949e-07,2.45260115618387e-07,2.22187437989696e-07,1.82536844227721e-07,1.70631866509762e-07
2086,1.10166777050281e-07,6.02271468298698e-08,2.18621304156458e-07,2.49352304192369e-07,4.11642895608968e-07,2.35568868444246e-07,2.31674822101803e-07,2.12140825493343e-07,1.77910484741995e-07,2.21001545283016e-07
2087,1.09072564858799e-07,6.23189476353551e-08,2.17183170896074e-07,2.29027185582175e-07,4.05659639793568e-07,2.59306019562423e-07,2.47733818485189e-07,2.04345194556025e-07,1.95815170933463e-07,1.77466435952667e-07
2088,1.0918540868075e-07,9.62965043232339e-08,2.12813326614943e-07,2.38367744842999e-07,4.28209168049387e-07,2.92727906810286e-07,2.21192837699763e-07,1.98506737940513e-07,1.9261455335758e-07,1.3990197961308e-07
2089,1.15458243429514e-07,7.15585732966693e-08,2.11504459341542e-07,2.2902364856295e-07,4.38209753909416e-07,3.10444726300637e-07,2.13405929768473e-07,2.08219575482091e-07,1.95496144221414e-07,1.94570745846796e-07
2090,1.13631309350532e-07,5.32372905522842e-08,2.19574903388642e-07,2.4304374998618e-07,4.21458137289627e-07,2.99486678694598e-07,1.99542893467278e-07,2.09185187286098e-07,1.74669466399682e-07,2.20786134425979e-07
2091,1.12400459357394e-07,3.90627476436339e-08,2.25385591145272e-07,2.25705206692327e-07,3.93523218292508e-07,2.7311073143948e-07,1.97965788368142e-07,2.29642716187672e-07,1.74335692756788e-07,2.11234004547193e-07
2092,1.08707880258691e-07,5.1848941235142e-08,2.20119886024044e-07,2.11127269377745e-07,4.20128128402754e-07,2.56294001763602e-07,2.2483640541903e-07,2.34303909711634e-07,2.05147860100302e-07,1.84451358820784e-07
2093,1.1820564126733e-07,7.09664609345663e-08,2.10594864689098e-07,2.09708681590483e-07,4.41625543808722e-07,2.66564932644444e-07,1.93246602117699e-07,2.47706546075199e-07,1.72789269820438e-07,1.97604854147785e-07
2094,1.13307166316534e-07,5.99120074912309e-08,2.06815884672882e-07,1.98423978466353e-07,4.03163296587098e-07,2.84495840694154e-07,2.14143994238269e-07,2.41252010970394e-07,1.75597618150531e-07,1.94896905870359e-07
2095,1.20441625719394e-07,8.22550483499218e-08,2.27095382259341e-07,2.2659498989912e-07,4.0815124262208e-07,2.72031153354304e-07,2.28583111357927e-07,2.52484857948816e-07,1.76206454331963e-07,1.75683752847993e-07
2096,1.19558465480752e-07,7.50342731270333e-08,2.10976240852446e-07,2.20345166491149e-07,4.08073948237982e-07,2.70001480846727e-07,2.05067750618075e-07,2.59777195749492e-07,1.68714510473426e-07,1.57682131867273e-07
2097,1.13742402562738e-07,8.09852888892832e-08,2.09831710470519e-07,2.08652483113128e-07,3.90454969345897e-07,2.6108914238569e-07,2.17535624807776e-07,2.40601811847087e-07,1.801448318498e-07,1.41726894929383e-07
2098,1.11135017524673e-07,6.9602010795179e-08,2.1305084964902e-07,1.97026710374346e-07,4.01510733843519e-07,2.76106366134363e-07,1.96897831000209e-07,2.22044011048521e-07,2.12788411860376e-07,1.32018662387406e-07
2099,1.18370170496295e-07,5.24569831081267e-08,2.09679459874742e-07,1.93741628026895e-07,3.91374761620269e-07,2.73930066352198e-07,2.01197485755443e-07,2.33238921953852e-07,1.93048116782496e-07,1.26041164887449e-07
2100,1.11750577785622e-07,5.5846641768885e-08,2.09025656610782e-07,1.93417175299926e-07,4.03438918543524e-07,2.78920289299439e-07,1.9530380338084e-07,2.24740423970809e-07,1.97300298124298e-07,1.37279236208602e-07
